question,answer
sumienny,conscientious
riposta,retort
nieuprzejmy,discourteous
zuchwalstwo,impertinance
rzec,guffaw
pogradliwie,contemptuously
wynisly,haughty
pogarda,contempt
ponuro,gloomily
przyjaznie,amiably
omdlenia,swooning
przypuszczenie,conjecture
zamet,muddle
ponury,sullen
nedznik,wretch
bezczelnosc,impudence
przykrosc,vexation
odrazajacy,loathsome
zatrzask,latch
dotkniety,stricken
niepewny,faltering
bredzenie,raving
podlosc,abjectness
raczaclaskawie,deigning
skinacnakogosreka,beckon
okrutny,atrocious
sklonnosc,propensity
bolesc,anguish
bezczelny,impudent
surowo,sternly
zazdrosc,grudgeenvy
przesladowanie,persecution
bystry,astute
pogodzony,reconciled
haniebnie,huffily
dotychczas,hitherto
wiercil sie,fidgeted
nagana,reproof
malzenski,conjugal
podzeganie,instigation
wyniosly,lofty
utrudniac,hinder
zlosliwy,spiteful
wnedzy,destitute
zarozumialosc,conceit
glupota,fatuity
napawal sie,gloated
zmyslowy,voluptuous
zamyslony,brooded
smakowac,relish
bojazliwy,timid
laskawosc,condescension
zasplepienie,infatuation
niedowierzajacy,incredulous
oburzenie,indignation
bezbarwnie,dully
