alkoholsüchtig,uzależniony od alkoholu
arbeitslos,bezrobotny
die Arbeitslosigkeit,bezrobocie
arm,biedny
die Armut,bieda
behindert,niepełnosprawny
die Behinderung,niepełnosprawność
die Diskriminierung,dyskryminacja
drogensuchtig,uzależniony od narkotyków
das Engagement,zaangażowanie
die Gewalt,przemoc
die Hilfe,pomoc
die Kriminalitat,przestępczość
obdachlos,bezdomny
die Obdachlosigkeit,bezdomność
sich engagieren für,angażować się w
die Aktion, akcja
ein Konzert organisieren, organizowac koncert
bekannte Personen einladen, zapraszac znane osoby
eine Auktion machen, przeprowadzac aukcje
der Beitritt, przystapienie
Plakate aufhangen, rozwieszac plakaty
eine Radiosendung machen, tworzyc reklame radiowa
sich engagieren fur, angazowac sie w
Sponsoren finden, znajdowac sponsorow
unterstutzen, wspierac
die Abgase, spaliny
Altpapier sammeln, zbierac makulature
