alkoholsüchtig,uzależniony od alkoholu
arbeitslos,bezrobotny
die Arbeitslosigkeit,bezrobocie
arm,biedny
die Armut,bieda
behindert,niepełnosprawny
die Behinderung,niepełnosprawność
die Diskriminierung,dyskryminacja
drogensüchtig,uzależniony od narkotyków
das Engagement,zaangażowanie
die Gewalt,przemoc
die Hilfe,pomoc
die Kriminalität,przestępczość
obdachlos,bezdomny
die Obdachlosigkeit,bezdomność
sich engagieren für,angażować się w
die Aktion, akcja
ein Konzert organisieren, organizowac koncert
bekannte Personen einladen, zapraszac znane osoby
eine Auktion machen, przeprowadzac aukcje
der Beitritt, przystapienie
Plakate aufhangen, rozwieszac plakaty
eine Radiosendung machen, tworzyc reklame radiowa
sich engagieren fur, angazowac sie w
Sponsoren finden, znajdowac sponsorow
unterstutzen, wspierac
die Abgase, spaliny
Altpapier sammeln, zbierac makulature
Baume pflanzen, sadzic drzewa
den Mull sortieren, sortowac smieci
die Umwelt schutzen, chronic srodowisko naturalne
die Umwelt zerstoren, niszczyc srodowisko naturalne
das Gift, trucizna
die Luftverschmutzung, zanieczyszczenie powietrza
Mehrwegflaschen benutzen, uzywac butelek zwrotnych
der Mull, smieci
die Naturkatastrophe, kleska zywiolowa
recyceln, utylizowac smieci
sich einsetzen fur, angazowac sie w
der Umweltschutz, ochrona srodowiska naturalnego
Wasser sparen, oszczedzac wode
die Wasserverschmutzung, zanieczyszczenie wody
der Autofahrer, kierowca
benutzen, korzystac z
einen Kompromiss finden, znalezc kompromis
Flyer verteilen, rozdawac ulotki
der Fussganger, przechodzien
Plakate aushangen, rozwieszac plakaty
protestieren, protestowac
storen, przeszkadzac
Strassen blockieren, blokowac ulice
der Strassenlarm, halas uliczny
der Strassenverkehr, ruch uliczny
verbieten, zabraniac
das Verkehrsmittel, srodek komunikacji
verursachen, powodowac
zuruckweisen, rezygnowac z
der Werbeslogan, slogan reklamowy
andern, zmieniac
die Demonstration, demonstracja
eine Demo organisieren, organizowac demonstracje
die Kundgebung, manifestacja
mitarbeiten, brac udzial w
das Parlament, parlament
die Partei, partia
die Politiker, politycy
der Protest, protest
die Protestaktion, akcja protestacyjna
der Schweigemarsch, marsz milczenia
der Solidaritatsstreik, strajk solidarnosciowy
teilnehmen an, brac udzial w
die Unterschriftensammlung, akcja zbierania podpisow
wahlen, wybierac
die Wahl, wybory
der Wahler, wyborca
auf etwas aufmerksam machen, zwracac na cos uwage
der Dialog, dialog
das Engagement, zaangazowanie
Erfolge erzielen, osiagnac sukcesy
die Gesellschaft, spoleczenstwo
der Konflikt, konflikt
